Listed ticketer,GICS Sector,GICS Sub Industry,Category & Note,Sectcor
COF,Financials,Consumer Finance,33,4
FHN,Financials,Banking,33,4
FITB,Financials,Banks,33,4
HBAN,Financials,Banks,33,4
HCBK,Financials,Banking,33,4
HRB,Financials,Consumer Finance,33,4
IVZ,Financials,Asset Management & Custody Banks,33,4
JPM,Financials,Banks,33,4
KEY,Financials,Banks,33,4
LM,Financials,Asset Management & Custody Banks,33,4
MI,Financials,Banking,33,4
MTB,Financials,Banks,33,4
NTRS,Financials,Asset Management & Custody Banks,33,4
PNC,Financials,Banks,33,4
SLM,Financials,Consumer Finance,33,4
STI,Financials,Banks,33,4
USB,Financials,Banks,33,4
WFC,Financials,Banks,33,4
ZION,Financials,Banks,33,4
AMP,Financials,Diversified Financial Services,35,4
CME,Financials,Diversified Financial Services,35,4
EFX,Financials,Diversified Financial Services,35,4
ICE,Financials,Diversified Financial Services,35,4
MCO,Financials,Diversified Financial Services,35,4
NDAQ,Financials,Diversified Financial Services,35,4
NYX,Financials,Institutional Financial Svcs,35,4
PFG,Financials,Diversified Financial Services,35,4
PLD,Financials,Diversified Financial Services,35,4
PRU,Financials,Diversified Financial Services,35,4
RF,Financials,Diversified Financial Services,35,4
STT,Financials,Diversified Financial Services,35,4
TROW,Financials,Diversified Financial Services,35,4
UNM,Financials,Diversified Financial Services,35,4
VTR,Financials,Diversified Financial Services,35,4
ETFC,Financials,Investment Banking & Brokerage,36,4
FII,Financials,Investment Management,36,4
GS,Financials,Investment Banking & Brokerage,36,4
JNS,Financials,Investment Management,36,4
LUK,Financials,Investment Companies,36,4
MS,Financials,Investment Banking & Brokerage,36,4
SCHW,Financials,Investment Banking & Brokerage,36,4
AFL,Financials,Life & Health Insurance,39,4
AIG,Financials,Property & Casualty Insurance,39,4
AIZ,Financials,Multi-line Insurance,39,4
ALL,Financials,Property & Casualty Insurance,39,4
CB,Financials,Property & Casualty Insurance,39,4
CINF,Financials,Property & Casualty Insurance,39,4
GNW,Financials,Life & Health Insurance,39,4
HIG,Financials,Property & Casualty Insurance,39,4
L,Financials,P&C Insurance,39,4
LNC,Financials,Multi-line Insurance,39,4
MBI,Financials,Property & Casualty Insurance,39,4
MET,Financials,Life & Health Insurance,39,4
MMC,Financials,Insurance Brokers,39,4
PGR,Financials,Property & Casualty Insurance,39,4
TMK,Financials,Life & Health Insurance,39,4
TRV,Financials,Property & Casualty Insurance,39,4
XL,Financials,Property & Casualty Insurance,39,4
AIV,Financials,REITs,40,4
AMT,Financials,"REITs, Specialized REITs",40,4
AVB,Financials,"REITs, Residential REITs",40,4
BXP,Financials,REITs,40,4
CBG,Financials,"REITs, Real Estate Services",40,4
EQR,Financials,REITs,40,4
HCN,Financials,REITs,40,4
HCP,Financials,REITs,40,4
HST,Financials,REITs,40,4
IRM,Financials,REITs,40,4
KIM,Financials,REITs,40,4
PBCT,Financials,Thrifts & Mortgage Finance,40,4
PCL,Financials,REITs,40,4
PSA,Financials,REITs,40,4
SPG,Financials,REITs,40,4
VNO,Financials,REITs,40,4
WY,Financials,REITs,40,4
AOC,Financials,Insurance,99,4
AGN,Health Care,Pharmaceuticals,41,5
AMGN,Health Care,Biotechnology,41,5
BIIB,Health Care,Biotechnology,41,5
CELG,Health Care,Biotechnology,41,5
CEPH,Health Care,Biotechnology,41,5
FRX,Health Care,Pharmaceuticals,41,5
GENZ,Health Care,Biotechnology,41,5
GILD,Health Care,Biotechnology,41,5
HSP,Health Care,Pharmaceuticals,41,5
KG,Health Care,Pharmaceuticals,41,5
LIFE,Health Care,Pharmaceuticals,41,5
LLY,Health Care,Pharmaceuticals,41,5
MRK,Health Care,Pharmaceuticals,41,5
MYL,Health Care,Pharmaceuticals,41,5
PFE,Health Care,Pharmaceuticals,41,5
SGP,Health Care,Pharmaceuticals,41,5
WPI,Health Care,Pharmaceuticals,41,5
ABC,Health Care,Health Care Distribution & Services,42,5
AET,Health Care,Managed Health Care,42,5
BMY,Health Care,Health Care Distributors & Services,42,5
CAH,Health Care,Health Care Distributors & Services,42,5
CI,Health Care,Managed Health Care,42,5
DGX,Health Care,Health Care Facilities,42,5
DVA,Health Care,Health Care Facilities,42,5
ESRX,Health Care,Health Care Distributors & Services,42,5
HUM,Health Care,Managed Health Care,42,5
LH,Health Care,Health Care Facilities,42,5
MCK,Health Care,Health Care Distributors & Services,42,5
MHS,Health Care,Health Care Supply Chain,42,5
PDCO,Health Care,Health Care Supplies,42,5
THC,Health Care,Health Care Facilities,42,5
UNH,Health Care,Managed Health Care,42,5
WAT,Health Care,Health Care Distributors & Services,42,5
WLP,Health Care,Health Care Facilities & Svcs,42,5
XRAY,Health Care,Health Care Supplies,42,5
A,Health Care,Health Care Equipment & Services,43,5
ABT,Health Care,Health Care Equipment & Services,43,5
BAX,Health Care,Health Care Equipment & Services,43,5
BCR,Health Care,Health Care Equipment & Services,43,5
BDX,Health Care,Health Care Equipment & Services,43,5
BSX,Health Care,Health Care Equipment & Services,43,5
ISRG,Health Care,Health Care Equipment & Services,43,5
JNJ,Health Care,Health Care Equipment & Services,43,5
MDT,Health Care,Health Care Equipment & Services,43,5
MIL,Health Care,Medical Equipment & Devices,43,5
PKI,Health Care,Health Care Equipment & Services,43,5
